"no";"sender";"receiver";"feedno";"pickno";"commentno";"date";"type";"readcheck"
198;47;45;51;0;54;"2022-02-18 00:42:36";2;1
200;46;43;0;0;0;"2022-02-18 00:48:19";1;1
201;47;45;51;0;56;"2022-02-18 01:16:39";2;1
203;47;45;51;0;57;"2022-02-18 01:17:59";2;1
204;47;45;51;0;58;"2022-02-18 01:18:11";2;1
207;47;45;51;0;0;"2022-02-18 01:19:51";3;1
208;47;45;51;0;60;"2022-02-18 01:19:55";2;1
209;45;46;0;0;0;"2022-02-18 01:22:07";1;1
213;40;43;0;0;0;"2022-02-18 01:57:17";1;1
214;47;40;0;0;0;"2022-02-18 01:58:47";1;1
215;47;40;55;0;62;"2022-02-18 02:00:13";2;1
217;47;40;55;0;63;"2022-02-18 02:01:01";2;1
218;47;40;55;0;64;"2022-02-18 02:01:24";2;1
219;47;40;0;0;0;"2022-02-18 02:01:38";3;1
221;42;48;0;0;0;"2022-02-18 03:00:51";1;0
222;49;43;0;0;0;"2022-02-18 03:11:54";1;1
223;43;49;0;0;0;"2022-02-18 03:14:40";1;1
225;43;49;67;0;0;"2022-02-18 03:14:48";3;1
226;43;49;67;0;65;"2022-02-18 03:14:51";2;1
231;49;43;66;0;66;"2022-02-18 03:15:59";2;1
233;41;43;63;0;69;"2022-02-18 03:37:57";2;1
234;41;43;66;0;70;"2022-02-18 03:38:42";2;1
235;49;43;66;0;72;"2022-02-18 03:52:03";2;1
250;41;43;0;0;0;"2022-02-18 04:02:54";3;1
253;41;43;64;0;0;"2022-02-18 04:04:29";3;1
256;49;43;66;0;0;"2022-02-18 04:11:13";3;1
257;49;41;0;0;0;"2022-02-18 04:11:51";1;1
260;41;43;63;0;0;"2022-02-18 04:34:48";3;1
268;41;43;66;0;0;"2022-02-18 04:38:33";3;1
270;41;41;82;0;0;"2022-02-18 04:41:49";3;1
271;43;41;82;0;0;"2022-02-18 04:51:34";3;1
272;43;41;73;0;0;"2022-02-18 04:51:47";3;1
275;49;43;86;0;0;"2022-02-18 05:35:10";3;1
276;49;41;75;0;0;"2022-02-18 05:35:28";3;1
281;46;43;86;0;0;"2022-02-18 10:10:44";3;1
282;46;43;64;0;0;"2022-02-18 10:11:05";3;1
284;46;43;63;0;0;"2022-02-18 10:11:25";3;1
288;41;43;86;0;0;"2022-02-18 10:12:01";3;1
295;43;46;106;0;0;"2022-02-18 10:55:21";3;1
297;43;41;94;0;0;"2022-02-18 10:55:41";3;1
298;47;43;107;0;81;"2022-02-18 10:56:36";2;1
299;58;0;0;0;0;"2022-02-18 11:02:14";1;0
300;58;47;0;0;0;"2022-02-18 11:02:31";1;1
301;41;43;107;0;83;"2022-02-18 11:03:56";2;1
302;42;48;68;0;0;"2022-02-18 11:07:47";3;0
303;42;43;0;0;0;"2022-02-18 11:15:15";1;1
304;60;47;0;0;0;"2022-02-18 11:19:55";1;0
311;41;43;107;0;0;"2022-02-18 11:21:24";3;1
